id_cliente,sector,region,temperatura_c,consumo_kwh
CL-0232,Industrial,Andina,19.5,804.2
CL-0233,Industrial,Pacifica,25.0,841.6
CL-0234,Industrial,Andina,18.6,1164.1
CL-0235,Industrial,Caribe,28.2,989.3
CL-0236,Industrial,Andina,18.9,490.3
CL-0237,Industrial,Andina,15.4,463.9
CL-0238,Industrial,Andina,15.2,844.6
CL-0239,Industrial,Andina,16.5,700.5
CL-0240,Industrial,Andina,19.1,720.7
CL-0241,Industrial,Andina,18.1,852.5
CL-0242,Industrial,Andina,17.0,1014.3
CL-0243,Industrial,Pacifica,26.0,886.1
CL-0244,Industrial,Andina,13.9,999.0
CL-0245,Industrial,Caribe,27.0,910.7
CL-0246,Industrial,Andina,12.4,600.2
CL-0247,Industrial,Caribe,31.9,998.5
CL-0248,Industrial,Pacifica,23.7,713.3
CL-0249,Industrial,Caribe,29.1,1035.2
CL-0250,Industrial,Andina,17.6,918.9
CL-0251,Industrial,Andina,18.6,602.8
CL-0252,Industrial,Caribe,31.0,1157.8
CL-0253,Industrial,Caribe,25.3,939.0
CL-0254,Industrial,Pacifica,29.6,1031.3
CL-0255,Industrial,Caribe,27.2,930.9
CL-0256,Industrial,Pacifica,24.0,1284.8
CL-0257,Industrial,Pacifica,28.3,767.4
CL-0258,Industrial,Andina,18.3,972.9
CL-0259,Industrial,Andina,18.3,1026.4
CL-0260,Industrial,Andina,17.7,569.7
CL-0261,Industrial,Andina,15.9,653.2
CL-0262,Industrial,Caribe,32.5,1194.7
CL-0263,Industrial,Pacifica,28.7,937.0
CL-0264,Industrial,Andina,14.8,950.7
CL-0265,Industrial,Caribe,26.4,916.4
CL-0266,Industrial,Andina,20.6,1063.4
CL-0267,Industrial,Andina,17.5,898.0
CL-0268,Industrial,Caribe,26.8,900.0
CL-0269,Industrial,Andina,14.5,970.0
CL-0270,Industrial,Caribe,25.4,899.5
CL-0271,Industrial,Caribe,31.1,1129.1
CL-0272,Industrial,Andina,15.3,686.1
CL-0273,Industrial,Andina,17.8,1122.9
CL-0274,Industrial,Caribe,28.7,710.8
CL-0275,Industrial,Andina,17.4,853.2
CL-0276,Industrial,Caribe,29.5,847.3
CL-0277,Industrial,Andina,17.6,818.0
CL-0278,Industrial,Caribe,29.5,732.9
CL-0279,Industrial,Andina,19.9,690.4
CL-0280,Industrial,Andina,13.3,878.4
CL-0281,Industrial,Andina,16.8,1105.8
CL-0282,Industrial,Caribe,29.8,1220.3
CL-0283,Industrial,Andina,16.2,749.3
CL-0284,Industrial,Caribe,28.3,1190.1
CL-0285,Industrial,Caribe,28.3,1276.1
CL-0286,Industrial,Andina,20.5,885.2
CL-0287,Industrial,Andina,17.7,1463.0
CL-0288,Industrial,Caribe,27.6,1104.8
CL-0289,Industrial,Pacifica,25.0,1083.5
CL-0290,Industrial,Andina,17.6,892.9
CL-0291,Industrial,Andina,17.8,542.5
CL-0292,Industrial,Pacifica,24.0,656.4
CL-0293,Industrial,Caribe,29.2,812.0
CL-0294,Industrial,Andina,14.3,804.0
CL-0295,Industrial,Andina,16.9,937.8
CL-0296,Industrial,Andina,18.4,904.9
CL-0297,Industrial,Andina,13.1,870.2
CL-0298,Industrial,Andina,16.8,882.2
CL-0299,Industrial,Pacifica,27.9,731.6
CL-0300,Industrial,Pacifica,23.8,967.2
